Scenario,Solver,n_features,n_samples,Time_ms,RelError,Timestamp
narrow,Gauss_Naive,2,4096,0.1342,2.203132e-01,2026-05-31 00:11:08
narrow,Gauss_Perminov,2,4096,0.1302,2.203132e-01,2026-05-31 00:11:08
narrow,Gauss_Winograd,2,4096,0.1667,2.203132e-01,2026-05-31 00:11:08
narrow,Cholesky_Naive,2,4096,0.107,2.203132e-01,2026-05-31 00:11:08
narrow,Cholesky_Perminov,2,4096,0.1168,2.203132e-01,2026-05-31 00:11:08
narrow,Cholesky_Winograd,2,4096,0.1242,2.203132e-01,2026-05-31 00:11:08
narrow,QR_Householder,2,4096,0.3366,2.634729e-01,2026-05-31 00:11:08
narrow,Gauss_Naive,2,4096,0.1192,2.203132e-01,2026-05-31 00:11:08
narrow,Gauss_Perminov,2,4096,0.1254,2.203132e-01,2026-05-31 00:11:08
narrow,Gauss_Winograd,2,4096,0.1275,2.203132e-01,2026-05-31 00:11:08
narrow,Cholesky_Naive,2,4096,0.1079,2.203132e-01,2026-05-31 00:11:08
narrow,Cholesky_Perminov,2,4096,0.1184,2.203132e-01,2026-05-31 00:11:08
narrow,Cholesky_Winograd,2,4096,0.1233,2.203132e-01,2026-05-31 00:11:08
narrow,QR_Householder,2,4096,0.3349,2.634729e-01,2026-05-31 00:11:08
narrow,Gauss_Naive,3,4096,0.1888,2.201268e-01,2026-05-31 00:11:08
narrow,Gauss_Perminov,3,4096,0.2609,2.201268e-01,2026-05-31 00:11:08
narrow,Gauss_Winograd,3,4096,0.338,2.201268e-01,2026-05-31 00:11:08
narrow,Cholesky_Naive,3,4096,0.1724,2.201268e-01,2026-05-31 00:11:08
narrow,Cholesky_Perminov,3,4096,0.2123,2.201268e-01,2026-05-31 00:11:08
narrow,Cholesky_Winograd,3,4096,0.1814,2.201268e-01,2026-05-31 00:11:08
narrow,QR_Householder,3,4096,0.9667,2.537068e-01,2026-05-31 00:11:08
narrow,Gauss_Naive,3,4096,0.2697,2.201268e-01,2026-05-31 00:11:08
narrow,Gauss_Perminov,3,4096,0.2175,2.201268e-01,2026-05-31 00:11:08
narrow,Gauss_Winograd,3,4096,0.2543,2.201268e-01,2026-05-31 00:11:08
narrow,Cholesky_Naive,3,4096,0.2075,2.201268e-01,2026-05-31 00:11:08
narrow,Cholesky_Perminov,3,4096,0.4001,2.201268e-01,2026-05-31 00:11:08
narrow,Cholesky_Winograd,3,4096,0.2077,2.201268e-01,2026-05-31 00:11:08
narrow,QR_Householder,3,4096,0.6307,2.537068e-01,2026-05-31 00:11:08
narrow,Gauss_Naive,4,4096,0.3578,2.193564e-01,2026-05-31 00:11:08
narrow,Gauss_Perminov,4,4096,0.335,2.193564e-01,2026-05-31 00:11:08
narrow,Gauss_Winograd,4,4096,0.2612,2.193564e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,4,4096,0.2671,2.193564e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,4,4096,0.4598,2.193564e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,4,4096,0.5255,2.193564e-01,2026-05-31 00:11:09
narrow,QR_Householder,4,4096,0.7277,2.385295e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,4,4096,0.2882,2.193564e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,4,4096,1.1984,2.193564e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,4,4096,2.7074,2.193564e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,4,4096,0.7719,2.193564e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,4,4096,0.3289,2.193564e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,4,4096,0.7772,2.193564e-01,2026-05-31 00:11:09
narrow,QR_Householder,4,4096,0.9365,2.385295e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,5,4096,1.2238,2.181050e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,5,4096,0.4604,2.181050e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,5,4096,0.3384,2.181050e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,5,4096,0.4221,2.181050e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,5,4096,0.5539,2.181050e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,5,4096,0.3432,2.181050e-01,2026-05-31 00:11:09
narrow,QR_Householder,5,4096,1.3373,2.288598e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,5,4096,0.4293,2.181050e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,5,4096,0.6993,2.181050e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,5,4096,0.4498,2.181050e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,5,4096,0.4022,2.181050e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,5,4096,0.4004,2.181050e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,5,4096,0.3352,2.181050e-01,2026-05-31 00:11:09
narrow,QR_Householder,5,4096,1.1282,2.288598e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,2,4096,0.1297,1.722475e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,2,4096,0.1304,1.722475e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,2,4096,0.14,1.722475e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,2,4096,0.1102,1.722475e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,2,4096,0.1371,1.722475e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,2,4096,0.1306,1.722475e-01,2026-05-31 00:11:09
narrow,QR_Householder,2,4096,1.6491,1.722476e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,3,4096,0.2353,1.722045e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,3,4096,0.4087,1.722045e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,3,4096,0.3023,1.722045e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,3,4096,0.3312,1.722045e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,3,4096,0.2218,1.722045e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,3,4096,0.2614,1.722045e-01,2026-05-31 00:11:09
narrow,QR_Householder,3,4096,0.5373,1.722075e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,4,4096,0.2799,1.718293e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,4,4096,0.4,1.718293e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,4,4096,0.2892,1.718293e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,4,4096,0.297,1.718293e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,4,4096,0.8879,1.718293e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,4,4096,0.3323,1.718293e-01,2026-05-31 00:11:09
narrow,QR_Householder,4,4096,0.973,1.719263e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,6,4096,2.1185,1.714101e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,6,4096,1.1762,1.714101e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,6,4096,0.6105,1.714101e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,6,4096,0.603,1.714101e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,6,4096,1.1696,1.714101e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,6,4096,0.7833,1.714101e-01,2026-05-31 00:11:09
narrow,QR_Householder,6,4096,1.5854,1.717550e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,6,4096,0.6154,1.694406e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,6,4096,1.2513,1.694406e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,6,4096,0.4697,1.694406e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,6,4096,0.4851,1.694406e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,6,4096,0.644,1.694406e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,6,4096,0.8428,1.694406e-01,2026-05-31 00:11:09
narrow,QR_Householder,6,4096,1.382,1.712412e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,9,4096,0.9872,1.682357e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,9,4096,1.2446,1.682357e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,9,4096,1.1877,1.682357e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,9,4096,1.2062,1.682357e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,9,4096,2.1737,1.682357e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,9,4096,0.8065,1.682357e-01,2026-05-31 00:11:09
narrow,QR_Householder,9,4096,2.6818,1.709625e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,8,4096,2.3795,1.683819e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,8,4096,1.0825,1.683819e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,8,4096,0.9663,1.683819e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,8,4096,0.9769,1.683819e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,8,4096,1.3186,1.683819e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,8,4096,1.1279,1.683819e-01,2026-05-31 00:11:09
narrow,QR_Householder,8,4096,2.8566,1.703158e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,12,4096,1.8385,1.666911e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,12,4096,1.548,1.666911e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,12,4096,3.7589,1.666911e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,12,4096,3.44,1.666911e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,12,4096,2.1161,1.666911e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,12,4096,2.0685,1.666911e-01,2026-05-31 00:11:09
narrow,QR_Householder,12,4096,5.4113,1.776150e-01,2026-05-31 00:11:09
narrow,Gauss_Naive,10,4096,3.0583,1.678756e-01,2026-05-31 00:11:09
narrow,Gauss_Perminov,10,4096,1.1635,1.678756e-01,2026-05-31 00:11:09
narrow,Gauss_Winograd,10,4096,1.295,1.678756e-01,2026-05-31 00:11:09
narrow,Cholesky_Naive,10,4096,2.8774,1.678756e-01,2026-05-31 00:11:09
narrow,Cholesky_Perminov,10,4096,2.0791,1.678756e-01,2026-05-31 00:11:09
narrow,Cholesky_Winograd,10,4096,1.1607,1.678756e-01,2026-05-31 00:11:09
narrow,QR_Householder,10,4096,6.2726,1.690183e-01,2026-05-31 00:11:10
narrow,Gauss_Naive,15,4096,4.4179,1.662153e-01,2026-05-31 00:11:10
narrow,Gauss_Perminov,15,4096,4.6308,1.662153e-01,2026-05-31 00:11:10
narrow,Gauss_Winograd,15,4096,2.4016,1.662153e-01,2026-05-31 00:11:10
narrow,Cholesky_Naive,15,4096,2.8518,1.662153e-01,2026-05-31 00:11:10
narrow,Cholesky_Perminov,15,4096,6.0865,1.662153e-01,2026-05-31 00:11:10
narrow,Cholesky_Winograd,15,4096,2.8899,1.662153e-01,2026-05-31 00:11:10
narrow,QR_Householder,15,4096,8.2362,1.740119e-01,2026-05-31 00:11:10
narrow,Gauss_Naive,3,4096,0.3074,1.415185e-01,2026-05-31 00:11:10
narrow,Gauss_Perminov,3,4096,0.3393,1.415185e-01,2026-05-31 00:11:10
narrow,Gauss_Winograd,3,4096,0.6115,1.415185e-01,2026-05-31 00:11:10
narrow,Cholesky_Naive,3,4096,0.2601,1.415185e-01,2026-05-31 00:11:10
narrow,Cholesky_Perminov,3,4096,4.0956,1.415185e-01,2026-05-31 00:11:10
narrow,Cholesky_Winograd,3,4096,0.2812,1.415185e-01,2026-05-31 00:11:10
narrow,QR_Householder,3,4096,0.6384,1.415947e-01,2026-05-31 00:11:10
narrow,Gauss_Naive,5,4096,0.5495,1.412088e-01,2026-05-31 00:11:10
narrow,Gauss_Perminov,5,4096,0.9273,1.412088e-01,2026-05-31 00:11:10
narrow,Gauss_Winograd,5,4096,0.3513,1.412088e-01,2026-05-31 00:11:10
narrow,Cholesky_Naive,5,4096,0.5944,1.412088e-01,2026-05-31 00:11:10
narrow,Cholesky_Perminov,5,4096,0.9265,1.412088e-01,2026-05-31 00:11:10
narrow,Cholesky_Winograd,5,4096,0.6109,1.412088e-01,2026-05-31 00:11:10
narrow,QR_Householder,5,4096,1.3566,1.414085e-01,2026-05-31 00:11:10
narrow,Gauss_Naive,6,4096,0.6532,1.408317e-01,2026-05-31 00:11:11
narrow,Gauss_Perminov,6,4096,0.7607,1.408317e-01,2026-05-31 00:11:11
narrow,Gauss_Winograd,6,4096,0.6377,1.408317e-01,2026-05-31 00:11:11
narrow,Cholesky_Naive,6,4096,0.6638,1.408317e-01,2026-05-31 00:11:11
narrow,Cholesky_Perminov,6,4096,0.4805,1.408317e-01,2026-05-31 00:11:11
narrow,Cholesky_Winograd,6,4096,0.4378,1.408317e-01,2026-05-31 00:11:11
narrow,QR_Householder,6,4096,1.3599,1.424393e-01,2026-05-31 00:11:11
narrow,Gauss_Naive,10,4096,9.6506,1.381960e-01,2026-05-31 00:11:11
narrow,Gauss_Perminov,10,4096,1.1807,1.381960e-01,2026-05-31 00:11:11
narrow,Gauss_Winograd,10,4096,1.5379,1.381960e-01,2026-05-31 00:11:11
narrow,Cholesky_Naive,10,4096,1.542,1.381960e-01,2026-05-31 00:11:11
narrow,Cholesky_Perminov,10,4096,1.3868,1.381960e-01,2026-05-31 00:11:11
narrow,Cholesky_Winograd,10,4096,1.6902,1.381960e-01,2026-05-31 00:11:11
narrow,QR_Householder,10,4096,3.3585,1.402201e-01,2026-05-31 00:11:11
narrow,Gauss_Naive,9,4096,1.2795,1.383619e-01,2026-05-31 00:11:11
narrow,Gauss_Perminov,9,4096,1.1029,1.383619e-01,2026-05-31 00:11:11
narrow,Gauss_Winograd,9,4096,0.8485,1.383619e-01,2026-05-31 00:11:11
narrow,Cholesky_Naive,9,4096,1.5972,1.383619e-01,2026-05-31 00:11:11
narrow,Cholesky_Perminov,9,4096,1.1289,1.383619e-01,2026-05-31 00:11:11
narrow,Cholesky_Winograd,9,4096,1.2599,1.383619e-01,2026-05-31 00:11:11
narrow,QR_Householder,9,4096,3.9514,1.418285e-01,2026-05-31 00:11:11
narrow,Gauss_Naive,15,4096,3.2074,1.358558e-01,2026-05-31 00:11:11
narrow,Gauss_Perminov,15,4096,2.7276,1.358558e-01,2026-05-31 00:11:11
narrow,Gauss_Winograd,15,4096,2.3427,1.358558e-01,2026-05-31 00:11:11
narrow,Cholesky_Naive,15,4096,3.4936,1.358558e-01,2026-05-31 00:11:11
narrow,Cholesky_Perminov,15,4096,3.3003,1.358558e-01,2026-05-31 00:11:11
narrow,Cholesky_Winograd,15,4096,2.1575,1.358558e-01,2026-05-31 00:11:11
narrow,QR_Householder,15,4096,6.4371,1.391546e-01,2026-05-31 00:11:11
narrow,Gauss_Naive,12,4096,2.2878,1.367140e-01,2026-05-31 00:11:11
narrow,Gauss_Perminov,12,4096,1.6702,1.367140e-01,2026-05-31 00:11:11
narrow,Gauss_Winograd,12,4096,1.6673,1.367140e-01,2026-05-31 00:11:11
narrow,Cholesky_Naive,12,4096,2.7306,1.367140e-01,2026-05-31 00:11:11
narrow,Cholesky_Perminov,12,4096,2.2765,1.367140e-01,2026-05-31 00:11:11
narrow,Cholesky_Winograd,12,4096,1.2865,1.367140e-01,2026-05-31 00:11:11
narrow,QR_Householder,12,4096,3.9745,1.409140e-01,2026-05-31 00:11:11
narrow,Gauss_Naive,20,4096,6.4753,1.352161e-01,2026-05-31 00:11:11
narrow,Gauss_Perminov,20,4096,5.6216,1.352161e-01,2026-05-31 00:11:12
narrow,Gauss_Winograd,20,4096,4.6649,1.352161e-01,2026-05-31 00:11:12
narrow,Cholesky_Naive,20,4096,6.3053,1.352161e-01,2026-05-31 00:11:12
narrow,Cholesky_Perminov,20,4096,7.4729,1.352161e-01,2026-05-31 00:11:12
narrow,Cholesky_Winograd,20,4096,5.1895,1.352161e-01,2026-05-31 00:11:12
narrow,QR_Householder,20,4096,19.1134,1.380023e-01,2026-05-31 00:11:12
narrow,Gauss_Naive,15,4096,6.8828,1.363209e-01,2026-05-31 00:11:12
narrow,Gauss_Perminov,15,4096,4.54,1.363209e-01,2026-05-31 00:11:12
narrow,Gauss_Winograd,15,4096,3.2318,1.363209e-01,2026-05-31 00:11:12
narrow,Cholesky_Naive,15,4096,3.5214,1.363209e-01,2026-05-31 00:11:12
narrow,Cholesky_Perminov,15,4096,3.9965,1.363209e-01,2026-05-31 00:11:12
