Scenario,Solver,n_features,n_samples,Time_ms,RelError,Timestamp
narrow,Gauss_Naive,6,4096,1.0907,1.664817e-01,2026-06-01 10:42:41
narrow,Gauss_Perminov,6,4096,2.3754,1.664817e-01,2026-06-01 10:42:41
narrow,Gauss_Winograd,6,4096,1.176,1.664817e-01,2026-06-01 10:42:41
narrow,Cholesky_Naive,6,4096,1.0307,1.664817e-01,2026-06-01 10:42:41
narrow,Cholesky_Perminov,6,4096,1.036,1.664817e-01,2026-06-01 10:42:41
narrow,Cholesky_Winograd,6,4096,1.0337,1.664817e-01,2026-06-01 10:42:41
narrow,Gauss_Naive,8,4096,1.5177,1.647468e-01,2026-06-01 10:42:41
narrow,Gauss_Perminov,8,4096,1.4607,1.647468e-01,2026-06-01 10:42:41
narrow,Gauss_Winograd,8,4096,1.563,1.647468e-01,2026-06-01 10:42:41
narrow,Cholesky_Naive,8,4096,1.447,1.647468e-01,2026-06-01 10:42:41
narrow,Cholesky_Perminov,8,4096,1.5614,1.647468e-01,2026-06-01 10:42:41
narrow,Cholesky_Winograd,8,4096,1.5094,1.647468e-01,2026-06-01 10:42:41
narrow,Gauss_Naive,6,4096,1.0507,1.655785e-01,2026-06-01 10:42:41
narrow,Gauss_Perminov,6,4096,0.9874,1.655785e-01,2026-06-01 10:42:41
narrow,Gauss_Winograd,6,4096,1.1297,1.655785e-01,2026-06-01 10:42:41
narrow,Cholesky_Naive,6,4096,1.039,1.655785e-01,2026-06-01 10:42:41
narrow,Cholesky_Perminov,6,4096,0.9964,1.655785e-01,2026-06-01 10:42:41
narrow,Cholesky_Winograd,6,4096,1.0824,1.655785e-01,2026-06-01 10:42:41
narrow,Gauss_Naive,9,4096,1.7147,1.646503e-01,2026-06-01 10:42:42
narrow,Gauss_Perminov,9,4096,1.9054,1.646503e-01,2026-06-01 10:42:42
narrow,Gauss_Winograd,9,4096,1.7564,1.646503e-01,2026-06-01 10:42:42
narrow,Cholesky_Naive,9,4096,1.6277,1.646503e-01,2026-06-01 10:42:42
narrow,Cholesky_Perminov,9,4096,1.778,1.646503e-01,2026-06-01 10:42:42
narrow,Cholesky_Winograd,9,4096,1.777,1.646503e-01,2026-06-01 10:42:42
narrow,Gauss_Naive,12,4096,2.7011,1.626544e-01,2026-06-01 10:42:42
narrow,Gauss_Perminov,12,4096,2.6681,1.626544e-01,2026-06-01 10:42:42
narrow,Gauss_Winograd,12,4096,2.7541,1.626544e-01,2026-06-01 10:42:42
narrow,Cholesky_Naive,12,4096,2.6591,1.626544e-01,2026-06-01 10:42:42
narrow,Cholesky_Perminov,12,4096,2.6074,1.626544e-01,2026-06-01 10:42:42
narrow,Cholesky_Winograd,12,4096,2.7057,1.626544e-01,2026-06-01 10:42:42
narrow,Gauss_Naive,8,4096,1.4284,1.645917e-01,2026-06-01 10:42:42
narrow,Gauss_Perminov,8,4096,1.4334,1.645917e-01,2026-06-01 10:42:42
narrow,Gauss_Winograd,8,4096,1.5017,1.645917e-01,2026-06-01 10:42:42
narrow,Cholesky_Naive,8,4096,1.424,1.645917e-01,2026-06-01 10:42:42
narrow,Cholesky_Perminov,8,4096,1.505,1.645917e-01,2026-06-01 10:42:42
narrow,Cholesky_Winograd,8,4096,1.5007,1.645917e-01,2026-06-01 10:42:42
narrow,Gauss_Naive,12,4096,2.7071,1.635791e-01,2026-06-01 10:42:42
